Time,avgI1rd,avgI2rd,avgDrd
3.066667e+01,1.438385e+02,1.177644e+02,1.132125e+02
3.083333e+01,1.447319e+02,1.186127e+02,1.139439e+02
3.100000e+01,1.454822e+02,1.193591e+02,1.146832e+02
3.116667e+01,1.462481e+02,1.201247e+02,1.155542e+02
3.133333e+01,1.470393e+02,1.210039e+02,1.161970e+02
3.150000e+01,1.478844e+02,1.219002e+02,1.170078e+02
3.166667e+01,1.487728e+02,1.228483e+02,1.178738e+02
3.183333e+01,1.497134e+02,1.236271e+02,1.189142e+02
3.200000e+01,1.506576e+02,1.244815e+02,1.197425e+02
3.216667e+01,1.514825e+02,1.253073e+02,1.206245e+02
3.233333e+01,1.523500e+02,1.259913e+02,1.213939e+02
3.250000e+01,1.532032e+02,1.267733e+02,1.220646e+02
3.266667e+01,1.539773e+02,1.274494e+02,1.227783e+02
3.283333e+01,1.547382e+02,1.281555e+02,1.237313e+02
3.300000e+01,1.555967e+02,1.289689e+02,1.245735e+02
3.316667e+01,1.564047e+02,1.297109e+02,1.252730e+02
3.333333e+01,1.572177e+02,1.306900e+02,1.259458e+02
3.350000e+01,1.580537e+02,1.315639e+02,1.268072e+02
3.366667e+01,1.589213e+02,1.322697e+02,1.275842e+02
3.383333e+01,1.596856e+02,1.331440e+02,1.285015e+02
3.400000e+01,1.604373e+02,1.340767e+02,1.292240e+02
3.416667e+01,1.612744e+02,1.347799e+02,1.300637e+02
3.433333e+01,1.621778e+02,1.356380e+02,1.309856e+02
3.450000e+01,1.630849e+02,1.363437e+02,1.318032e+02
3.466667e+01,1.639522e+02,1.370249e+02,1.324428e+02
3.483333e+01,1.647714e+02,1.378067e+02,1.331655e+02
3.500000e+01,1.655346e+02,1.384807e+02,1.338949e+02
3.516667e+01,1.664235e+02,1.393057e+02,1.346523e+02
3.533333e+01,1.671706e+02,1.400543e+02,1.354901e+02
3.550000e+01,1.681957e+02,1.407989e+02,1.363437e+02
3.566667e+01,1.690367e+02,1.417722e+02,1.370876e+02
3.583333e+01,1.698482e+02,1.426385e+02,1.378379e+02
3.600000e+01,1.707231e+02,1.435893e+02,1.386461e+02
3.616667e+01,1.716018e+02,1.444843e+02,1.394599e+02
3.633333e+01,1.723680e+02,1.452851e+02,1.402689e+02
3.650000e+01,1.731805e+02,1.460227e+02,1.411140e+02
3.666667e+01,1.738821e+02,1.468639e+02,1.418530e+02
3.683333e+01,1.746137e+02,1.475741e+02,1.426585e+02
3.700000e+01,1.754974e+02,1.483486e+02,1.434795e+02
3.716667e+01,1.763767e+02,1.491863e+02,1.442561e+02
3.733333e+01,1.772759e+02,1.500766e+02,1.450779e+02
3.750000e+01,1.781303e+02,1.508192e+02,1.458853e+02
3.766667e+01,1.788365e+02,1.515298e+02,1.466980e+02
3.783333e+01,1.797632e+02,1.524252e+02,1.474868e+02
3.800000e+01,1.805821e+02,1.532967e+02,1.482713e+02
3.816667e+01,1.814683e+02,1.539586e+02,1.491671e+02
3.833333e+01,1.822874e+02,1.548492e+02,1.499142e+02
3.850000e+01,1.831653e+02,1.557991e+02,1.507622e+02
3.866667e+01,1.839301e+02,1.567066e+02,1.517376e+02
3.883333e+01,1.847073e+02,1.573452e+02,1.525004e+02
3.900000e+01,1.854889e+02,1.581986e+02,1.533060e+02
3.916667e+01,1.863979e+02,1.589483e+02,1.541074e+02
3.933333e+01,1.871494e+02,1.597663e+02,1.547660e+02
3.950000e+01,1.880656e+02,1.605979e+02,1.555230e+02
3.966667e+01,1.890608e+02,1.614696e+02,1.562856e+02
3.983333e+01,1.898395e+02,1.621513e+02,1.571083e+02
4.000000e+01,1.905550e+02,1.629356e+02,1.578360e+02
4.016667e+01,1.912678e+02,1.636111e+02,1.586507e+02
4.033333e+01,1.920823e+02,1.643710e+02,1.594971e+02
4.050000e+01,1.929974e+02,1.652055e+02,1.602676e+02
4.066667e+01,1.938268e+02,1.661392e+02,1.609988e+02
4.083333e+01,1.946896e+02,1.669305e+02,1.619922e+02
4.100000e+01,1.954239e+02,1.677352e+02,1.628388e+02
4.116667e+01,1.962066e+02,1.685785e+02,1.636811e+02
4.133333e+01,1.969717e+02,1.694852e+02,1.644668e+02
4.150000e+01,1.977989e+02,1.703283e+02,1.653008e+02
4.166667e+01,1.987093e+02,1.712006e+02,1.660789e+02
4.183333e+01,1.994288e+02,1.720852e+02,1.667932e+02
4.200000e+01,2.001530e+02,1.729073e+02,1.677437e+02
4.216667e+01,2.010170e+02,1.737502e+02,1.686295e+02
4.233333e+01,2.018348e+02,1.745481e+02,1.694683e+02
4.250000e+01,2.027059e+02,1.753831e+02,1.703283e+02
4.266667e+01,2.035943e+02,1.760678e+02,1.710667e+02
4.283333e+01,2.044578e+02,1.769038e+02,1.718020e+02
4.300000e+01,2.052619e+02,1.776714e+02,1.725590e+02
4.316667e+01,2.061046e+02,1.787564e+02,1.732797e+02
4.333333e+01,2.069369e+02,1.795719e+02,1.742113e+02
4.350000e+01,2.077451e+02,1.804869e+02,1.751788e+02
4.366667e+01,2.087288e+02,1.814131e+02,1.759213e+02
4.383333e+01,2.093934e+02,1.822245e+02,1.768552e+02
4.400000e+01,2.101922e+02,1.829619e+02,1.778084e+02
4.416667e+01,2.110695e+02,1.838133e+02,1.785078e+02
4.433333e+01,2.119364e+02,1.846452e+02,1.792286e+02
4.450000e+01,2.126785e+02,1.855661e+02,1.800817e+02
4.466667e+01,2.134248e+02,1.863825e+02,1.810416e+02
4.483333e+01,2.142287e+02,1.871953e+02,1.818704e+02
4.500000e+01,2.151294e+02,1.878828e+02,1.826798e+02
4.516667e+01,2.158540e+02,1.887726e+02,1.834623e+02
4.533333e+01,2.167810e+02,1.896886e+02,1.843036e+02
4.550000e+01,2.175856e+02,1.905399e+02,1.850636e+02
4.566667e+01,2.182823e+02,1.912228e+02,1.858823e+02
4.583333e+01,2.191403e+02,1.920674e+02,1.866589e+02
4.600000e+01,2.200600e+02,1.928860e+02,1.874171e+02
4.616667e+01,2.208656e+02,1.936642e+02,1.881570e+02
4.633333e+01,2.216231e+02,1.944024e+02,1.889698e+02
4.650000e+01,2.224811e+02,1.951745e+02,1.897792e+02
4.666667e+01,2.232972e+02,1.959436e+02,1.906677e+02
4.683333e+01,2.242318e+02,1.967170e+02,1.915372e+02
4.700000e+01,2.250289e+02,1.976251e+02,1.923804e+02
4.716667e+01,2.259120e+02,1.984857e+02,1.931606e+02
4.733333e+01,2.267158e+02,1.994217e+02,1.939450e+02
4.750000e+01,2.274979e+02,2.002388e+02,1.946380e+02
4.766667e+01,2.284027e+02,2.010099e+02,1.953506e+02
4.783333e+01,2.291978e+02,2.018348e+02,1.961993e+02
4.800000e+01,2.300088e+02,2.027553e+02,1.970444e+02
4.816667e+01,2.307735e+02,2.035591e+02,1.978279e+02
4.833333e+01,2.316903e+02,2.043317e+02,1.986372e+02
4.850000e+01,2.324434e+02,2.051013e+02,1.994648e+02
4.866667e+01,2.332247e+02,2.060420e+02,2.002603e+02
4.883333e+01,2.340217e+02,2.068953e+02,2.011880e+02
4.900000e+01,2.348466e+02,2.077727e+02,2.020405e+02
4.916667e+01,2.356564e+02,2.085778e+02,2.029177e+02
4.933333e+01,2.365724e+02,2.094139e+02,2.037209e+02
4.950000e+01,2.374307e+02,2.101650e+02,2.045489e+02
4.966667e+01,2.382317e+02,2.110084e+02,2.053945e+02
4.983333e+01,2.390180e+02,2.118012e+02,2.061602e+02
5.000000e+01,2.398556e+02,2.126112e+02,2.069715e+02
5.016667e+01,2.406545e+02,2.134584e+02,2.077865e+02
5.033333e+01,2.416049e+02,2.143423e+02,2.086945e+02
5.050000e+01,2.425103e+02,2.151560e+02,2.095438e+02
